Julian Date,Magnitude,Observer
2415877.797,-17.9,Frost
2416213.868,-28.4,Frost
2416271.738,-42.2,Frost
2416559.922,14,Frost
2418444.757,-30.3,Frost
2418462.712,-23.3,Frost
2418469.707,16.6,Frost
2419532.785,-12.3,Beardsley
2419533.747,-5.9,Beardsley
2419536.762,-13.2,Beardsley
2419540.788,-2.5,Beardsley
2419545.725,-18.2,Beardsley
2419547.72,-9.4,Beardsley
2419550.684,-2.7,Beardsley
2419553.732,-13.5,Beardsley
2419558.684,-12.2,Beardsley
2419560.709,-10,Beardsley
2419563.722,-16.9,Beardsley
2419567.664,-16.2,Beardsley
2419574.631,-14.8,Beardsley
2419598.648,-21.3,Beardsley
2419617.572,-11.4,Beardsley
2419865.822,-22.5,Beardsley
2419895.767,-20.9,Beardsley
2419948.625,-21.9,Beardsley
2419970.599,-11.9,Beardsley
2420004.552,-16.8,Beardsley
2420254.817,-17.9,Beardsley
2420255.812,-18.8,Beardsley
2435148.013,-4.4,van Hoof
2435150.012,-8.8,van Hoof
2435151.979,-3.7,van Hoof
2435153.964,-6.8,van Hoof
2435154.874,11.4,van Hoof
2435155.889,-2.6,van Hoof
2435159.974,5.3,van Hoof
2435164.003,2.2,van Hoof
2435165.997,-1.8,van Hoof
2438235.785,7,Thackeray
2438243.796,-11,Thackeray
2438266.717,-11,Thackeray
2438946.763,-3,Thackeray
2442179.762,-1.5,Levato
2442180.705,2.3,Levato
2442174.855,-9.5,Levato
2442899.898,-11,Levato
2442921.78,-23.4,Levato
2442921.787,-17.3,Levato
2442921.792,-26.4,Levato
2455344.835,-10.7,Miroshnichenko
2455346.835,-12.8,Miroshnichenko
2455350.779,-7.7,Miroshnichenko
2455351.802,-8.7,Miroshnichenko
2455366.766,-10.7,Miroshnichenko
2455369.747,-9.7,Miroshnichenko
2455372.901,-13.8,Miroshnichenko
2455399.741,-9.7,Miroshnichenko
2455402.743,-9.7,Miroshnichenko
2455404.763,-10.7,Miroshnichenko
2455408.742,-9.7,Miroshnichenko
2455413.842,-11.7,Miroshnichenko
2455692.535,-15.5,Miroshnichenko
2455699.491,-17.1,Miroshnichenko
2455702.431,-23.2,Miroshnichenko
2455703.053,-17.3,Miroshnichenko
2455704.443,-21.5,Miroshnichenko
2455706.427,-20.9,Miroshnichenko
2455709.507,-18.8,Miroshnichenko
2455709.573,-22.8,Miroshnichenko
2455710.4,-24.2,Miroshnichenko
2455720.529,-28.4,Miroshnichenko
2455722.405,-24.6,Miroshnichenko
2455725.318,-26.5,Miroshnichenko
2455727.436,-27.4,Miroshnichenko
2455727.446,-30.7,Miroshnichenko
2455728.459,-29.7,Miroshnichenko
2455729.269,-30.2,Miroshnichenko
2455731.406,-34.7,Miroshnichenko
2455735.087,-39.7,Miroshnichenko
2455738.984,-48.2,Miroshnichenko
2455739.359,-42.9,Miroshnichenko
2455742.396,-47.5,Miroshnichenko
2455743.88,-54.8,Miroshnichenko
2455744.298,-46.3,Miroshnichenko
2455744.374,-51.5,Miroshnichenko
2455745.241,-54.4,Miroshnichenko
2455745.415,-57.2,Miroshnichenko
2455745.48,-53.6,Miroshnichenko
2455746.105,-58.5,Miroshnichenko
2455746.241,-56.5,Miroshnichenko
2455746.938,-54.6,Miroshnichenko
2455747.362,-52.6,Miroshnichenko
2455747.428,-51.7,Miroshnichenko
2455748.407,-51.9,Miroshnichenko
2455748.419,-46.7,Miroshnichenko
2455748.453,-51.5,Miroshnichenko
2455749.122,-47.2,Miroshnichenko
2455750.433,-52.1,Miroshnichenko
2455751.354,-38.2,Miroshnichenko
2455751.88,-37.9,Miroshnichenko
2455752.258,-47,Miroshnichenko
2455752.358,-44.2,Miroshnichenko
2455753.09,-46.9,Miroshnichenko
2455753.36,-49.6,Miroshnichenko
2455753.397,-35.9,Miroshnichenko
2455754.085,-38.5,Miroshnichenko
2455755.976,-39.4,Miroshnichenko
2455756.189,-38.6,Miroshnichenko
2455756.271,-44.2,Miroshnichenko
2455756.88,-31.3,Miroshnichenko
2455756.897,-29,Miroshnichenko
2455757.211,-32.9,Miroshnichenko
2455757.388,-36.1,Miroshnichenko
2455757.882,-29.4,Miroshnichenko
2455759.961,-34.1,Miroshnichenko
2455760.245,-34.3,Miroshnichenko
2455760.373,-36.9,Miroshnichenko
2455762.932,-26.1,Miroshnichenko
2455763.363,-28,Miroshnichenko
2455764.426,-30.3,Miroshnichenko
2455764.952,-32.6,Miroshnichenko
2455764.961,-31.2,Miroshnichenko
2455765.963,-32.6,Miroshnichenko
2455766.974,-28.6,Miroshnichenko
2455768.086,-31.6,Miroshnichenko
2455768.947,-27.4,Miroshnichenko
2455769.085,-28,Miroshnichenko
2455770.071,-25.8,Miroshnichenko
2455770.969,-23.6,Miroshnichenko
2455772.343,-25.9,Miroshnichenko
2455774.007,-23,Miroshnichenko
2455777.334,-25.1,Miroshnichenko
2455779.335,-23.3,Miroshnichenko
2455784.953,-24.2,Miroshnichenko
2455788.023,-20.7,Miroshnichenko
2455790.228,-17.1,Miroshnichenko
2455800.985,-24.4,Miroshnichenko
2455801.972,-19.8,Miroshnichenko
2455803.065,-16.1,Miroshnichenko
2455804.044,-17.6,Miroshnichenko
2455805.001,-18.3,Miroshnichenko
2455806.053,-13.6,Miroshnichenko
2455807.025,-15.1,Miroshnichenko
2455808.998,-17.4,Miroshnichenko
2455809.963,-17.9,Miroshnichenko
2455809.995,-13.4,Miroshnichenko
2455810.982,-12.6,Miroshnichenko
2455811.99,-18.1,Miroshnichenko
2455812.983,-19.6,Miroshnichenko
