"Номер детали","Название детали","Количество","Материал"
50A,Корпус батарейного отсека,1,Цинк
50B,Заглушка,1,АБС-пластик
,,,
51A,Батарейный отсек с контактными проводами и выключателем в сборе,1,АБС-пластик
GM,"Винт 2,0×4 мм",5,Металл
HM,"Винт 2,3×4 мм",3,Металл
,,,
52A,Крышка батарейного отсека,1,АБС-пластик
52B,Печатная плата,1,
52C,Зажим,1,АБС-пластик
AM,"Винт 1,7×3 мм",3,Металл
HM,"Винт 2,3×4 мм",5,Металл
QM,"Винт 2,0×6 мм (с плоской головкой)",4,Металл
SM,"Винт 1,7×6 мм (с плоской головкой)",11,Металл
,,,
53A,Кожух отсека заднего шасси,1,Цинк
53B,Обтекатель антенны радиовысотомера,1,АБС-пластик
53C,Замок левой створки заднего шасси,1,АБС-пластик
53D,Замок правой створки заднего шасси,1,АБС-пластик
53E,Перегородка отсека заднего шасси,1,АБС-пластик
FP,"Винт 2,0×4 мм",2,Металл
RM,"Винт 2,0×4 мм",2,Металл
,,,
54A,Осевой шарнир,1,Цинк
54B,Тяга поворота лопасти,1,Цинк
54C,Суппорт гидравлического демпфера,1,АБС-пластик
54D,Суппорт передней ноги шасси,1,АБС-пластик
54E,Суппорт левой ноги шасси,1,АБС-пластик
54F,Суппорт правой ноги шасси,1,АБС-пластик
TM,"Винт 1,7×3 мм",3,Металл
,,,
55A,Лопасть несущего винта,1,АБС-пластик
55B,Гидравлический шланг,1,АБС-пластик
55C,Штепсельный разъем,1,АБС-пластик
LM,"Винт 1,7×4 мм",3,Металл
,,,
56A,Хвостовой обтекатель ротора,1,Цинк
56B,Левая панель ВСУ,1,Цинк
56C,Правая панель ВСУ,1,Цинк
56D,Выхлопная труба системы охлаждения,1,АБС-пластик
56E,Выхлопная труба ВСУ,1,АБС-пластик
56F,Воздухозаборник ВСУ,1,АБС-пластик
HM,"Винт 2,3×4 мм",3,Металл
NM,"Винт 1,7×5 мм (с плоской головкой)",14,Металл
PM,"Винт 2,0×3 мм",2,Металл
,,,
57A,Конструкция левой средней части хвостовой балки,1,АБС-пластик
57B,Конструкция левой задней части хвостовой балки,1,АБС-пластик
57C,Зажим,4,АБС-пластик
EP,"Винт 2,0×5 мм",5,Металл
IP,"Винт 1,5×4 мм",5,Металл
,,,
58A,Конструкция правой средней части хвостовой балки,1,АБС-пластик
58B,Конструкция правой задней части хвостовой балки,1,АБС-пластик
EP,"Винт 2,0×5 мм",5,Металл
JP,"Винт 1,7×5 мм",10,Металл
,,,
59A,Задняя левая верхняя панель фюзеляжа,1,Цинк
59B,Крепление дециметровой антенны,1,САН-пластик
59C,Дециметровая антенна,1,АБС-пластик
59D,Воздухозаборник системы охлаждения,1,АБС-пластик
CP,"Винт 1,7×5 мм (с плоской головкой)",3,Металл
NM,"Винт 1,7×5 мм (с плоской головкой)",3,Металл
,,,
60A,Левая боковая панель,1,Цинк
CP,"Винт 1,7×5 мм (с плоской головкой)",4,Металл
NM,"Винт 1,7×5 мм (с плоской головкой)",4,Металл
,,,
61A,Задняя правая верхняя панель фюзеляжа,1,Цинк
61B,Антенна,1,АБС-пластик
CP,"Винт 1,7×5 мм (с плоской головкой)",3,Металл
NM,"Винт 1,7×5 мм (с плоской головкой)",3,Металл
,,,
62A,Правая боковая панель,1,Цинк
CP,"Винт 1,7×5 мм (с плоской головкой)",4,Металл
NM,"Винт 1,7×5 мм (с плоской головкой)",3,Металл
