 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  2.60  3.20 1.50  0.50  0.10  1.00  0.50  0.50 180.0   0.0  1.00  1.00  0.10  200 quiet
  3.00  3.20 1.50  0.50  0.10  1.00  0.50  0.50 180.0  18.0  1.00  1.00  0.10  200 quiet
  3.10  3.10 1.50  0.50  0.10  1.00  0.50  0.50 180.0  36.0  1.00  1.00  0.10  200 quiet
  3.20  3.20 1.50  0.50  0.10  1.00  0.50  0.50 180.0  54.0  1.00  1.00  0.10  200 quiet
  3.10  3.30 1.50  0.50  0.10  1.00  0.50  0.50 180.0  72.0  1.00  1.00  0.10  200 quiet
  3.30  3.50 1.50  0.50  0.10  1.00  0.50  0.50 180.0  90.0  1.00  1.00  0.10  200 quiet
  3.30  3.30 1.50  0.50  0.10  1.00  0.50  0.50 180.0 108.0  1.00  1.00  0.10  200 quiet
  3.40  3.40 1.50  0.50  0.10  1.00  0.50  0.50 180.0 126.0  1.00  1.00  0.10  200 quiet
  3.50  3.50 1.50  0.50  0.10  1.00  0.50  0.50 180.0 144.0  1.00  1.00  0.10  200 quiet
  3.40  3.70 1.50  0.50  0.10  1.00  0.50  0.50 180.0 162.0  1.00  1.00  0.10  200 quiet
  3.20  3.50 1.50  0.50  0.10  1.00  0.50  0.50 180.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.10  3.60 1.50  0.50  0.10  1.00  0.50  0.50 143.0   0.0  1.00  1.00  0.10  200 quiet
  3.50  3.50 1.50  0.50  0.10  1.00  0.50  0.50 143.0  18.0  1.00  1.00  0.10  200 quiet
  3.10  3.80 1.50  0.50  0.10  1.00  0.50  0.50 143.0  36.0  1.00  1.00  0.10  200 quiet
  2.70  3.20 1.50  0.50  0.10  1.00  0.50  0.50 143.0  54.0  1.00  1.00  0.10  200 quiet
  3.20  3.40 1.50  0.50  0.10  1.00  0.50  0.50 143.0  72.0  1.00  1.00  0.10  200 quiet
  3.50  3.50 1.50  0.50  0.10  1.00  0.50  0.50 143.0  90.0  1.00  1.00  0.10  200 quiet
  3.60  3.60 1.50  0.50  0.10  1.00  0.50  0.50 143.0 108.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.50  0.50  0.10  1.00  0.50  0.50 143.0 126.0  1.00  1.00  0.10  200 quiet
  3.70  3.90 1.50  0.50  0.10  1.00  0.50  0.50 143.0 144.0  1.00  1.00  0.10  200 quiet
  3.70  3.70 1.50  0.50  0.10  1.00  0.50  0.50 143.0 162.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.50  0.50  0.10  1.00  0.50  0.50 143.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.70  3.70 1.50  0.50  0.10  1.00  0.50  0.50 127.0   0.0  1.00  1.00  0.10  200 quiet
  3.60  3.60 1.50  0.50  0.10  1.00  0.50  0.50 127.0  18.0  1.00  1.00  0.10  200 quiet
  3.40  3.70 1.50  0.50  0.10  1.00  0.50  0.50 127.0  36.0  1.00  1.00  0.10  200 quiet
  3.20  3.60 1.50  0.50  0.10  1.00  0.50  0.50 127.0  54.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.50  0.50  0.10  1.00  0.50  0.50 127.0  72.0  1.00  1.00  0.10  200 quiet
  3.40  4.20 1.50  0.50  0.10  1.00  0.50  0.50 127.0  90.0  1.00  1.00  0.10  200 quiet
  3.70  3.90 1.50  0.50  0.10  1.00  0.50  0.50 127.0 108.0  1.00  1.00  0.10  200 quiet
