 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  2.60  2.60 1.50  0.50  0.50  1.00  0.60  0.50 180.0   0.0  1.00  1.00  0.10  200 quiet
  2.50  2.90 1.50  0.50  0.50  1.00  0.60  0.50 180.0   5.0  1.00  1.00  0.10  200 quiet
  2.60  2.80 1.50  0.50  0.50  1.00  0.60  0.50 180.0  10.0  1.00  1.00  0.10  200 quiet
  2.60  2.60 1.50  0.50  0.50  1.00  0.60  0.50 180.0  15.0  1.00  1.00  0.10  200 quiet
  2.60  2.80 1.50  0.50  0.50  1.00  0.60  0.50 180.0  20.0  1.00  1.00  0.10  200 quiet
  2.60  2.60 1.50  0.50  0.50  1.00  0.60  0.50 180.0  25.0  1.00  1.00  0.10  200 quiet
  2.60  2.80 1.50  0.50  0.50  1.00  0.60  0.50 180.0  30.0  1.00  1.00  0.10  200 quiet
  2.50  2.70 1.50  0.50  0.50  1.00  0.60  0.50 180.0  35.0  1.00  1.00  0.10  200 quiet
  2.80  2.80 1.50  0.50  0.50  1.00  0.60  0.50 180.0  40.0  1.00  1.00  0.10  200 quiet
  2.80  2.80 1.50  0.50  0.50  1.00  0.60  0.50 180.0  45.0  1.00  1.00  0.10  200 quiet
  2.60  2.90 1.50  0.50  0.50  1.00  0.60  0.50 180.0  50.0  1.00  1.00  0.10  200 quiet
  2.80  2.80 1.50  0.50  0.50  1.00  0.60  0.50 180.0  55.0  1.00  1.00  0.10  200 quiet
  2.60  2.90 1.50  0.50  0.50  1.00  0.60  0.50 180.0  60.0  1.00  1.00  0.10  200 quiet
  2.80  2.80 1.50  0.50  0.50  1.00  0.60  0.50 180.0  65.0  1.00  1.00  0.10  200 quiet
  2.80  2.80 1.50  0.50  0.50  1.00  0.60  0.50 180.0  70.0  1.00  1.00  0.10  200 quiet
  2.80  2.80 1.50  0.50  0.50  1.00  0.60  0.50 180.0  75.0  1.00  1.00  0.10  200 quiet
  2.90  2.90 1.50  0.50  0.50  1.00  0.60  0.50 180.0  80.0  1.00  1.00  0.10  200 quiet
  2.80  3.00 1.50  0.50  0.50  1.00  0.60  0.50 180.0  85.0  1.00  1.00  0.10  200 quiet
  2.70  2.70 1.50  0.50  0.50  1.00  0.60  0.50 180.0  90.0  1.00  1.00  0.10  200 quiet
  2.50  3.00 1.50  0.50  0.50  1.00  0.60  0.50 180.0  95.0  1.00  1.00  0.10  200 quiet
  2.80  3.00 1.50  0.50  0.50  1.00  0.60  0.50 180.0 100.0  1.00  1.00  0.10  200 quiet
